3215,3,56.88,81,16,79992,455,29
4346,3,64.38,116,6,41161,265,24
2212,4,89.33,173,4,58211,520,14
2212,4,101.96,173,4,51490,525,14
6843,3,87.48,145,24,66300,580,20
4791,4,94.46,3,16,62460,590,11
5586,3,57.62,100,6,36966,213,32
1930,4,94.09,77,26,65894,620,10
1577,2,50.93,172,6,48105,245,9
3847,3,59.91,118,6,105992,635,22
3440,2,67.39,136,29,60839,410,15
6737,5,141.16,73,18,102720,1450,12
3078,4,114.0,55,25,85964,980,10
6056,2,45.47,70,6,51682,235,23
5629,5,125.0,10,8,65600,820,15
6223,4,93.62,161,17,71031,665,11
4523,2,46.72,116,6,42808,200,36
3595,3,53.91,34,5,83472,450,42
2767,1,27.8,72,6,59352,165,34
3054,5,110.88,11,9,81168,900,18
3192,4,76.19,172,11,49875,380,9
6377,3,65.44,173,6,42023,275,22
6223,4,89.0,161,18,82584,735,9
3382,3,48.52,27,6,64921,315,26
4195,6,194.3,73,34,72053,1400,14
1096,5,153.24,81,24,68519,1050,22
1313,5,143.77,42,17,83466,1200,13
4408,3,69.84,181,6,62285,435,21
2298,1,33.0,181,5,66666,220,39
1463,3,62.52,40,6,58381,365,22
1600,3,59.82,40,6,47642,285,27
1634,1,29.0,34,6,88965,258,37
1924,8,355.58,44,2,61870,2200,12
2450,3,63.0,116,13,42063,265,29
6255,3,75.73,112,11,81605,618,13
97,4,96.05,2,18,72358,695,11
3942,3,50.41,65,6,60503,305,25
3358,5,119.92,40,7,50033,600,18
3118,2,29.53,80,5,71114,210,33
4906,2,47.78,133,5,33486,160,40
2640,2,51.0,40,6,51372,262,20
166,1,34.6,7,5,63583,220,31
2888,3,75.54,10,18,50966,385,17
6308,6,164.43,73,24,94265,1550,16
569,4,90.07,6,28,93038,838,7
3364,4,92.0,137,32,67391,620,12
1506,3,62.7,154,6,58213,365,20
2453,2,33.03,116,5,43899,145,39
686,3,66.77,13,5,53167,355,18
6408,4,101.97,164,18,69137,705,15
2538,2,44.49,145,6,65183,290,39
5222,3,52.93,133,6,39675,210,27
611,4,97.43,12,30,71846,700,14
187,5,112.0,4,6,40625,455,14
2920,1,32.0,72,5,51562,165,27
6909,3,62.66,183,6,63198,396,24
6229,3,63.21,154,7,59326,375,21
6446,2,46.88,158,6,86390,405,30
4866,2,34.4,123,6,87209,300,31
3457,5,111.77,3,6,60749,679,15
3678,3,51.56,106,6,85337,440,27
163,3,55.33,7,6,65064,360,31
6,3,79.0,158,18,105063,830,25
4868,2,37.6,123,6,85106,320,30
3237,2,46.43,108,7,86151,400,22
2793,3,66.07,181,14,56001,370,30
5774,4,107.71,142,37,106768,1150,11
6167,4,110.32,141,30,94724,1045,11
4541,3,95.45,145,26,75432,720,26
2921,2,47.72,72,6,52808,252,32
2959,2,40.72,49,5,65078,265,38
6411,6,168.23,4,3,47553,800,18
4410,3,59.2,181,6,63344,375,22
5408,4,78.6,3,6,54071,425,20
726,3,61.49,73,24,80988,498,24
6925,2,50.26,184,5,61679,310,23
4057,1,31.92,11,6,77694,248,24
1310,5,138.0,157,14,61594,850,20
638,3,61.17,110,6,53948,330,30
5381,6,92.29,130,6,63387,585,7
6888,3,48.0,122,6,59375,285,22
2811,3,50.14,181,6,63821,320,32
660,2,39.32,37,6,49593,195,32
6058,2,39.41,150,6,51256,202,25
4815,2,44.63,27,6,61617,275,23
2896,2,37.8,42,6,60846,230,29
5167,1,33.75,118,6,88888,300,28
5833,3,51.49,89,6,69916,360,35
6714,3,61.58,171,5,68203,420,39
1226,3,68.75,53,6,57454,395,20
5086,2,43.01,4,6,53010,228,23
5168,3,65.72,118,26,69993,460,25
5766,4,107.47,11,11,80859,869,17
3377,2,40.18,27,6,63464,255,32
170,2,59.65,7,24,56999,340,19
5408,3,64.65,3,6,47950,310,20
661,2,36.67,37,6,57812,212,27
5833,3,44.39,89,6,76593,340,35
954,2,59.83,98,14,47634,285,8
4134,3,49.42,107,6,58680,290,22
3658,3,56.79,89,12,78358,445,34
996,2,35.65,147,7,93969,335,25
4828,3,51.24,14,39,106362,545,15
2946,5,132.08,98,18,40505,535,8
1811,4,91.45,184,14,65609,600,14
1106,2,41.59,72,6,52897,220,22
310,1,37.0,73,6,75675,280,42
4001,5,136.83,11,12,89892,1230,15
1317,4,81.96,63,6,41483,340,22
3066,3,62.46,2,23,72046,450,10
218,5,134.0,160,16,87313,1170,16
3486,3,73.0,150,6,54794,400,17
4874,2,46.54,28,6,61882,288,20
5967,5,124.55,6,27,64231,800,17
3919,3,68.21,53,7,68904,470,7
2870,1,31.68,68,6,157828,500,33
5629,5,139.43,10,17,68134,950,14
1890,3,49.9,16,6,64128,320,32
2060,5,150.41,106,18,82441,1240,13
3942,2,46.0,65,6,69565,320,26
4576,2,42.08,115,6,47053,198,22
1939,2,37.96,72,6,52687,200,30
5247,5,129.57,4,13,51709,670,12
4637,4,81.41,173,6,47291,385,17
2749,4,93.0,133,6,29032,270,18
3481,3,65.24,7,6,57480,375,21
5559,2,73.89,20,12,67668,500,27
6061,3,59.0,150,7,48813,288,20
4858,2,47.0,123,6,67021,315,35
5192,2,41.96,103,6,42897,180,21
4462,4,83.44,28,6,56327,470,20
2586,3,72.0,63,6,38194,275,24
3039,5,137.62,157,18,82110,1130,13
627,2,51.98,13,6,47133,245,17
4675,2,30.5,121,6,90163,275,22
4812,3,62.81,4,11,49355,310,12
6921,2,44.46,1,6,71974,320,29
3877,3,61.68,118,6,89169,550,34
266,5,169.04,104,12,66848,1130,15
5377,4,96.35,137,6,42760,412,19
3573,4,82.24,137,11,58365,480,10
4400,5,120.5,160,19,114522,1380,7
1149,3,57.5,3,6,54782,315,23
1552,2,45.23,171,7,69644,315,25
4581,2,46.08,115,6,47743,220,23
5385,2,55.39,178,6,63188,350,12
5254,2,44.05,145,9,65834,290,35
5927,2,44.0,55,6,61363,270,26
5639,3,83.87,40,5,63193,530,17
106,3,52.79,0,6,69141,365,22
6477,5,158.27,160,20,51178,810,17
