611,4,97.43,12,30,14,700
187,5,112.0,4,6,14,455
2920,1,32.0,72,5,27,165
6909,3,62.66,183,6,24,396
6229,3,63.21,154,7,21,375
6446,2,46.88,158,6,30,405
4866,2,34.4,123,6,31,300
3457,5,111.77,3,6,15,679
3678,3,51.56,106,6,27,440
163,3,55.33,7,6,31,360
6,3,79.0,158,18,25,830
4868,2,37.6,123,6,30,320
3237,2,46.43,108,7,22,400
2793,3,66.07,181,14,30,370
5774,4,107.71,142,37,11,1150
6167,4,110.32,141,30,11,1045
4541,3,95.45,145,26,26,720
2921,2,47.72,72,6,32,252
2959,2,40.72,49,5,38,265
6411,6,168.23,4,3,18,800
4410,3,59.2,181,6,22,375
5408,4,78.6,3,6,20,425
726,3,61.49,73,24,24,498
6925,2,50.26,184,5,23,310
4057,1,31.92,11,6,24,248
1310,5,138.0,157,14,20,850
638,3,61.17,110,6,30,330
5381,6,92.29,130,6,7,585
6888,3,48.0,122,6,22,285
2811,3,50.14,181,6,32,320
660,2,39.32,37,6,32,195
6058,2,39.41,150,6,25,202
4815,2,44.63,27,6,23,275
2896,2,37.8,42,6,29,230
5167,1,33.75,118,6,28,300
5833,3,51.49,89,6,35,360
6714,3,61.58,171,5,39,420
1226,3,68.75,53,6,20,395
5086,2,43.01,4,6,23,228
5168,3,65.72,118,26,25,460
5766,4,107.47,11,11,17,869
3377,2,40.18,27,6,32,255
170,2,59.65,7,24,19,340
5408,3,64.65,3,6,20,310
661,2,36.67,37,6,27,212
5833,3,44.39,89,6,35,340
954,2,59.83,98,14,8,285
4134,3,49.42,107,6,22,290
3658,3,56.79,89,12,34,445
996,2,35.65,147,7,25,335
4828,3,51.24,14,39,15,545
2946,5,132.08,98,18,8,535
1811,4,91.45,184,14,14,600
1106,2,41.59,72,6,22,220
310,1,37.0,73,6,42,280
4001,5,136.83,11,12,15,1230
1317,4,81.96,63,6,22,340
3066,3,62.46,2,23,10,450
218,5,134.0,160,16,16,1170
3486,3,73.0,150,6,17,400
4874,2,46.54,28,6,20,288
5967,5,124.55,6,27,17,800
3919,3,68.21,53,7,7,470
2870,1,31.68,68,6,33,500
5629,5,139.43,10,17,14,950
1890,3,49.9,16,6,32,320
2060,5,150.41,106,18,13,1240
3942,2,46.0,65,6,26,320
4576,2,42.08,115,6,22,198
1939,2,37.96,72,6,30,200
5247,5,129.57,4,13,12,670
4637,4,81.41,173,6,17,385
2749,4,93.0,133,6,18,270
3481,3,65.24,7,6,21,375
5559,2,73.89,20,12,27,500
6061,3,59.0,150,7,20,288
4858,2,47.0,123,6,35,315
5192,2,41.96,103,6,21,180
4462,4,83.44,28,6,20,470
2586,3,72.0,63,6,24,275
3039,5,137.62,157,18,13,1130
627,2,51.98,13,6,17,245
4675,2,30.5,121,6,22,275
4812,3,62.81,4,11,12,310
6921,2,44.46,1,6,29,320
3877,3,61.68,118,6,34,550
266,5,169.04,104,12,15,1130
5377,4,96.35,137,6,19,412
3573,4,82.24,137,11,10,480
4400,5,120.5,160,19,7,1380
1149,3,57.5,3,6,23,315
1552,2,45.23,171,7,25,315
4581,2,46.08,115,6,23,220
5385,2,55.39,178,6,12,350
5254,2,44.05,145,9,35,290
5927,2,44.0,55,6,26,270
5639,3,83.87,40,5,17,530
106,3,52.79,0,6,22,365
6477,5,158.27,160,20,17,810
6155,3,62.68,173,6,23,245
3321,3,58.48,110,6,22,328
4739,2,52.05,136,6,20,460
2330,4,97.47,180,25,19,610
6176,3,63.07,153,6,23,360
6251,3,72.0,3,11,11,440
6035,5,159.16,35,20,10,2000
6383,5,134.84,28,11,15,960
2617,3,74.93,127,7,18,500
665,2,36.48,37,6,28,200
2210,5,161.24,157,15,18,670
3106,3,64.64,19,20,29,550
32,5,106.07,25,6,14,705
3128,2,50.59,181,6,24,300
308,4,110.49,73,4,18,700
1758,2,29.22,164,6,35,198
6515,2,44.24,181,6,38,310
1215,5,161.91,87,20,7,1350
4688,5,109.24,160,20,19,700
1551,2,39.49,171,7,26,240
3044,4,113.68,160,24,20,750
5311,2,59.78,44,6,11,295
6334,2,57.0,171,6,37,420
841,5,152.94,49,23,21,920
6712,8,343.0,90,10,11,4600
3148,2,37.19,80,5,36,230
6377,2,42.26,173,6,21,203
3683,3,44.15,91,6,39,280
1273,4,78.87,123,23,19,520
5785,3,62.65,119,6,22,370
766,2,45.39,54,6,23,220
4795,2,43.13,54,6,22,198
280,3,41.66,89,6,34,320
6178,3,49.69,153,6,22,298
4676,2,37.01,121,6,31,417
3137,2,39.49,42,7,24,260
6411,6,142.52,4,3,13,760
1406,2,57.51,179,6,21,269
2138,4,80.07,56,18,8,770
1204,3,49.88,11,6,36,375
2830,3,54.17,82,6,28,390
5956,6,76.28,16,6,22,495
3829,1,27.52,112,3,28,188
2310,4,93.89,6,21,20,690
222,5,129.91,11,18,16,980
666,3,59.4,37,6,25,330
5869,3,62.01,106,7,27,390
5192,2,54.0,103,7,18,230
2358,4,86.0,183,6,36,588
2778,1,32.26,72,6,22,172
6678,2,40.23,15,13,10,208
5091,2,43.81,89,6,35,315
6771,4,105.71,22,25,11,860
611,4,111.63,12,34,12,750
3442,2,35.23,122,5,42,180
4791,5,137.0,3,16,11,1020
6176,4,64.19,153,6,23,365
5219,3,62.45,82,18,27,560
4949,5,115.0,0,11,13,680
1460,6,145.12,132,27,17,1220
167,2,42.3,7,6,24,245
4657,5,147.02,182,31,14,1380
4033,3,60.03,44,8,7,415
1144,3,75.96,3,18,19,410
6758,4,101.7,91,24,18,690
5192,1,33.38,103,7,19,165
2083,3,49.91,81,6,35,395
